Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score,QuantileRank,Happiness Score_avg,Economy_avg,Health_avg,Generosity_avg,Freedom_avg,Trust_avg
Burundi,157,2.905,0.0153,0.22396,0.19727,0.1185,0.10062,157,2.905,0.06831,0.15747,0.2029,0.0432,0.09419,154,2.90499997138977,0.09162256866693501,0.151610791683197,0.20443518459796897,0.0599007532000542,0.0841479450464249,156,2.905,0.091,0.145,0.149,0.065,0.076,145,3.775,0.046,0.38,0.17600000000000002,0.22,0.18,128,5.94,,3.078999994277954,0.062446513733387,0.21160815833663937,0.1859210369195938,19.206657250457148,0.10699158900928499
Tajikistan,106,4.7860000000000005,0.39047,0.5737899999999999,0.22974,0.47216,0.15072,100,4.996,0.48835,0.5311899999999999,0.25998000000000004,0.43408,0.13509000000000002,96,5.04099988937378,0.524713635444641,0.5292351245880129,0.24899764358997303,0.47156670689582797,0.14637714624404902,88,5.199,0.474,0.598,0.187,0.292,0.034,74,5.4670000000000005,0.493,0.718,0.23,0.389,0.14400000000000002,126,6.05,,5.097799977874756,0.4741067270889282,0.5900430249176025,0.2311435287179946,19.158400958127977,0.12203742924880981
Ukraine,111,4.681,0.79907,0.6739,0.15275,0.25123,0.02961,123,4.324,0.87287,0.58628,0.20363,0.12859,0.01829,132,4.09600019454956,0.89465194940567,0.575903952121735,0.270061463117599,0.12297477573156401,0.0230294708162546,138,4.103,0.7929999999999999,0.609,0.187,0.163,0.011000000000000001,133,4.332,0.82,0.7390000000000001,0.187,0.17800000000000002,0.01,125,6.06,,4.307200038909912,0.835918389881134,0.6368167904243471,0.20008829262351982,18.843399253675937,0.01838589416325092
Pakistan,81,5.194,0.59543,0.51466,0.33671,0.12102,0.10464000000000001,92,5.132000000000001,0.68816,0.40306,0.31185,0.14622000000000002,0.1388,80,5.26900005340576,0.7268835306167599,0.40204778313636796,0.31544601917266807,0.23521526157856,0.12434806674718901,75,5.472,0.652,0.424,0.21600000000000003,0.33399999999999996,0.113,67,5.653,0.677,0.535,0.22,0.313,0.098,123,6.07,,5.344000010681151,0.667894706123352,0.45575355662727357,0.2800012038345336,18.60277932308265,0.1157576133494378
Tunisia,107,4.739,0.88113,0.73793,0.06431,0.26268,0.06358,98,5.045,0.97724,0.59577,0.03936,0.23553000000000002,0.0817,102,4.80499982833862,1.00726580619812,0.613212049007416,0.0496933571994305,0.289680689573288,0.0867231488227844,111,4.592,0.9,0.69,0.04,0.271,0.063,124,4.461,0.9209999999999999,0.815,0.059000000000000004,0.16699999999999998,0.055,124,6.07,,4.728399965667724,0.9373271612396239,0.6903824098014831,0.05047267143988611,18.756555812796186,0.07000062976455687
Benin,155,3.34,0.28665,0.3191,0.1826,0.4845,0.0801,153,3.484,0.39499,0.21028000000000002,0.2018,0.39747,0.06681000000000001,143,3.65700006484985,0.43108540773391707,0.20993021130561804,0.207948461174965,0.42596277594566295,0.0609290152788162,136,4.141,0.37799999999999995,0.24,0.163,0.44,0.067,102,4.883,0.39299999999999996,0.397,0.175,0.349,0.08199999999999999,122,6.2,,3.90100001296997,0.3767450815467834,0.2752620422611236,0.186069692234993,18.61384753942081,0.07136780305576325
Madagascar,147,3.681,0.20824,0.46721,0.21333000000000002,0.19184,0.08123999999999999,148,3.695,0.27954,0.37109000000000003,0.2204,0.13684000000000002,0.07506,144,3.64400005340576,0.305808693170547,0.375223308801651,0.208732530474663,0.18919676542282102,0.0672319754958153,143,3.7739999999999996,0.262,0.402,0.155,0.221,0.049,143,3.9330000000000003,0.27399999999999997,0.555,0.16899999999999998,0.14800000000000002,0.040999999999999995,121,6.2,,3.745400010681152,0.2659177386341094,0.43410466176033025,0.1932925060949326,18.29812525220326,0.06270639509916306
Vietnam,75,5.36,0.63216,0.7467600000000001,0.1686,0.59444,0.10440999999999999,96,5.061,0.74037,0.66157,0.25075,0.5595399999999999,0.11556,94,5.07399988174438,0.7885475754737851,0.6521689891815191,0.23496805131435397,0.571055591106415,0.0876332372426987,95,5.103,0.715,0.7020000000000001,0.177,0.618,0.079,94,5.175,0.741,0.851,0.147,0.5429999999999999,0.073,120,6.2,,5.154599976348876,0.723415515094757,0.7226997978363039,0.19566361026287077,18.44086222730092,0.09192064744853974
China,84,5.14,0.89012,0.81658,0.08185,0.5169699999999999,0.02781,83,5.245,1.0278,0.73561,0.049589999999999995,0.44011999999999996,0.02745,79,5.2729997634887695,1.08116579055786,0.741415500640869,0.0288068410009146,0.47278770804405196,0.0227942746132612,86,5.246,0.9890000000000001,0.799,0.028999999999999998,0.597,0.10300000000000001,93,5.191,1.0290000000000001,0.893,0.057999999999999996,0.521,0.1,119,6.21,,5.218999952697754,1.003417158111572,0.7971211001281737,0.04944936820018292,18.251125386863436,0.056210854922652244
Mauritania,124,4.436,0.45407,0.35874,0.21899999999999997,0.24231999999999998,0.17461,130,4.2010000000000005,0.6139100000000001,0.28639000000000003,0.22685999999999998,0.1268,0.17955,123,4.29199981689453,0.6484572887420649,0.285349279642105,0.201870024204254,0.0960980430245399,0.136957004666328,126,4.356,0.557,0.292,0.134,0.129,0.09300000000000001,122,4.49,0.57,0.489,0.106,0.066,0.08800000000000001,117,6.22,,4.354999963378907,0.5686874577484129,0.34229585592842093,0.17754600484085079,17.697174006146362,0.1344234009332656
Togo,158,2.839,0.20868,0.28443,0.16680999999999999,0.36453,0.10730999999999999,155,3.303,0.28123000000000004,0.24811,0.17517,0.34678000000000003,0.11587,150,3.4949998855590803,0.30544471740722695,0.247105568647385,0.19689615070819896,0.38042613863945,0.0956650152802467,139,3.9989999999999997,0.259,0.253,0.158,0.434,0.10099999999999999,139,4.085,0.275,0.41,0.177,0.293,0.085,116,6.25,,3.5441999771118162,0.26587094348144535,0.288529113729477,0.1747752301416398,17.724105162662777,0.10096900305604932
Senegal,142,3.904,0.36498,0.4354,0.20843000000000003,0.36772,0.10712999999999999,128,4.218999999999999,0.44314,0.40457,0.19103,0.31056,0.11681,115,4.53499984741211,0.479309022426605,0.409362852573395,0.183468893170357,0.37792226672172496,0.11546044796705199,109,4.631,0.429,0.433,0.138,0.406,0.08199999999999999,111,4.681,0.45,0.5710000000000001,0.153,0.292,0.07200000000000001,114,6.27,,4.393999969482422,0.433285804485321,0.45066657051467895,0.1747857786340714,17.43202889524596,0.09868008959341038
Liberia,116,4.571000000000001,0.0712,0.34201,0.24361999999999998,0.28531,0.06232000000000001,150,3.622,0.10705999999999999,0.23165,0.24063,0.25748000000000004,0.04852,148,3.5329999923706095,0.11904179304838199,0.229918196797371,0.26654988527298,0.33288118243217496,0.0389482490718365,149,3.495,0.076,0.267,0.20600000000000002,0.419,0.03,141,3.975,0.073,0.44299999999999995,0.233,0.37,0.033,113,6.28,,3.8391999984741227,0.08926035860967639,0.3027156393594742,0.237959977054596,17.277810168918883,0.042557649814367306
